Date,AC.PA,ACA.PA,AI.PA,AIR.PA,BN.PA,BNP.PA,BVI.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,^FCHI
2022-01-03,27.04985237121582,9.210373878479004,118.88336181640625,110.01280975341797,48.129600524902344,46.926231384277344,25.766284942626953,13.447310447692871,198.4036865234375,20.909561157226562,80.24361419677734,49.6480712890625,37.422645568847656,170.58102416992188,25.206459045410156,9.363320350646973,101.22882843017578,24.986440658569336,70.08368682861328,628.7359619140625,95.0984115600586,683.0696411132812,31.273509979248047,26.80193328857422,400.59503173828125,7.45020055770874,50.19698715209961,187.54420471191406,1502.377685546875,28.61496353149414,106.17794799804688,76.12838745117188,55.562843322753906,12.619271278381348,42.65354537963867,162.37791442871094,354.2625427246094,37.38418197631836,,27.467182159423828,7217.22021484375
2022-01-04,28.121498107910156,9.428739547729492,121.1763916015625,112.6082534790039,49.556243896484375,48.49810791015625,26.175697326660156,13.693399429321289,201.842041015625,21.308027267456055,82.01853942871094,49.65784454345703,38.29460906982422,173.6066131591797,25.704008102416992,9.469802856445312,96.26030731201172,26.192485809326172,71.61971282958984,638.948486328125,95.28253173828125,695.2173461914062,31.966581344604492,27.106393814086914,405.67303466796875,7.502378463745117,50.8913459777832,192.35989379882812,1518.4486083984375,29.407419204711914,106.89171600341797,75.0545883178711,57.08816909790039,12.9078950881958,41.89257049560547,164.56594848632812,351.9365539550781,37.69993209838867,,27.500883102416992,7317.41015625
2022-01-05,28.14920997619629,9.522737503051758,123.14624786376953,114.04805755615234,49.459964752197266,48.55945587158203,25.792984008789062,14.3899564743042,197.56732177734375,21.343534469604492,81.7847671508789,49.36476135253906,38.98678970336914,174.95538330078125,25.84043312072754,9.427209854125977,95.23625183105469,26.459129333496094,71.30509948730469,657.8638916015625,95.55872344970703,708.29931640625,32.60634231567383,27.82304573059082,402.66387939453125,7.470754146575928,51.26393127441406,192.98416137695312,1537.4412841796875,30.969560623168945,107.74052429199219,75.22502899169922,57.13277053833008,13.412259101867676,42.28032684326172,164.86265563964844,352.65228271484375,38.152793884277344,,27.121734619140625,7376.3701171875
2022-01-06,28.20464324951172,9.632641792297363,120.8070297241211,112.38091278076172,49.468719482421875,49.2188720703125,25.04536247253418,15.295063018798828,188.92491149902344,21.552631378173828,81.61161041259766,47.56230926513672,38.91487121582031,166.53475952148438,25.776233673095703,9.370418548583984,93.5769271850586,26.951391220092773,71.49016571044922,637.7052001953125,93.62544250488281,679.4253540039062,32.585018157958984,27.6544189453125,388.3703308105469,7.4565253257751465,51.53489685058594,185.84982299804688,1465.3662109375,31.087974548339844,107.77910614013672,75.11425018310547,57.36468505859375,13.294185638427734,41.58720779418945,159.50381469726562,338.2491760253906,38.16941452026367,,27.239694595336914,7249.66015625
2022-01-07,28.278549194335938,9.729534149169922,120.37614440917969,111.4905014038086,49.249908447265625,49.456573486328125,24.991960525512695,15.311746597290039,185.95118713378906,21.674928665161133,81.4297866821289,46.71236801147461,38.501365661621094,161.4495849609375,25.872535705566406,9.405913352966309,93.65277099609375,27.23854637145996,71.7307357788086,637.0836181640625,94.407958984375,668.8663330078125,32.7236328125,28.59590721130371,385.1260681152344,7.454153060913086,51.484092712402344,181.4800262451172,1409.36181640625,31.183616638183594,108.18421936035156,75.50626373291016,57.98017501831055,13.114889144897461,43.021915435791016,157.05618286132812,339.4121398925781,38.60565948486328,,27.947437286376953,7219.47998046875
2022-01-10,28.417123794555664,9.781594276428223,120.09912872314453,111.69889068603516,49.80131149291992,49.07318878173828,24.41344451904297,14.740320205688477,180.70066833496094,21.623641967773438,81.69818115234375,45.50585174560547,38.762054443359375,158.89788818359375,25.92068099975586,9.46554183959961,89.28162384033203,27.086763381958008,72.89664459228516,616.3921508789062,90.51380157470703,656.6253051757812,32.52104568481445,28.282079696655273,371.1146545410156,7.612264633178711,50.3663444519043,182.28262329101562,1338.260498046875,30.99233627319336,108.64720153808594,75.71932220458984,56.73136520385742,13.031800270080566,41.131595611572266,148.99014282226562,325.3669128417969,38.83833312988281,,27.27339744567871,7115.77001953125
2022-01-11,28.66655921936035,9.762794494628906,120.60697937011719,112.17252349853516,49.88008499145508,49.34922409057617,24.71605110168457,14.894647598266602,186.5087432861328,21.970821380615234,82.25231170654297,46.04316711425781,38.91487121582031,159.77276611328125,25.92068099975586,9.610358238220215,90.35308074951172,27.140094757080078,72.73008728027344,630.7785034179688,90.97411346435547,663.4466552734375,32.62767028808594,28.666166305541992,372.7132873535156,7.660488605499268,50.43408966064453,180.0531463623047,1340.20849609375,30.600658416748047,106.9495849609375,76.6993637084961,58.68485641479492,13.142585754394531,41.60174560546875,152.0496826171875,330.823974609375,39.552940368652344,,27.458759307861328,7183.3798828125
2022-01-12,28.611127853393555,9.972482681274414,121.73040008544922,112.41880798339844,49.7225456237793,50.092987060546875,24.840656280517578,14.894647598266602,188.92491149902344,22.030000686645508,82.42546081542969,45.97966384887695,37.449615478515625,159.26242065429688,26.025007247924805,9.765110969543457,89.96431732177734,27.49698257446289,72.47100067138672,635.0410766601562,92.42865753173828,662.23193359375,32.7236328125,30.530406951904297,376.1925964355469,7.7063398361206055,51.92441940307617,179.07217407226562,1336.799560546875,29.512174606323242,105.98503112792969,76.66527557373047,59.70173645019531,13.38602066040039,41.29638671875,156.18467712402344,332.0764465332031,40.76611328125,,27.113311767578125,7237.18994140625
2022-01-13,29.377910614013672,10.049127578735352,120.4838638305664,111.11161041259766,50.326454162597656,51.34281921386719,24.876258850097656,14.740320205688477,187.4380340576172,22.262765884399414,84.390869140625,45.041805267333984,38.501365661621094,157.9501190185547,26.28180694580078,9.857397079467773,90.0781021118164,28.095901489257812,72.80411529541016,612.1061401367188,91.78424072265625,644.7579345703125,33.064842224121094,30.858285903930664,365.613525390625,7.812274932861328,52.263126373291016,176.26303100585938,1294.4310302734375,30.864810943603516,108.37712860107422,75.77896881103516,59.48765563964844,13.84811019897461,42.57114791870117,155.44297790527344,323.2198181152344,40.55422592163086,,27.4166316986084,7201.14013671875
2022-01-14,29.682777404785156,9.962359428405762,119.06803894042969,111.14949798583984,50.650299072265625,50.83675765991211,24.591447830200195,14.736149787902832,184.650146484375,22.321943283081055,85.25668334960938,44.42633056640625,37.09902572631836,155.4895782470703,26.22563362121582,9.857397079467773,87.63175964355469,28.087697982788086,74.58073425292969,593.9009399414062,89.83255767822266,631.1152954101562,33.01152038574219,30.385204315185547,356.77410888671875,7.879471778869629,51.365543365478516,176.66433715820312,1264.7244873046875,30.555116653442383,108.8015365600586,77.22773742675781,59.16653823852539,13.83353328704834,41.645362854003906,151.10398864746094,317.31549072265625,41.16081619262695,,27.21441650390625,7143.0
